date,deathIncrease,hospitalizedCurrently,inIcuCurrently,negative,negativeIncrease,positive,positiveIncrease,recovered,totalTestResultsIncrease
2020-10-11,5,820.0,186.0,11565287,117111,474286,1143,77631.0,118254
2020-10-10,8,826.0,179.0,11448176,133132,473143,1447,77514.0,134579
2020-10-09,6,779.0,168.0,11315044,137708,471696,1592,77432.0,139300
2020-10-08,10,754.0,172.0,11177336,143975,470104,1836,77351.0,145811
2020-10-07,9,748.0,176.0,11033361,106886,468268,1360,77267.0,108246
2020-10-06,9,705.0,158.0,10926475,94966,466908,1393,77192.0,96359
2020-10-05,8,636.0,149.0,10831509,75471,465515,933,77141.0,76404
2020-10-04,14,618.0,138.0,10756038,109107,464582,1222,77090.0,110329
2020-10-03,8,647.0,149.0,10646931,132536,463360,1731,77004.0,134267
2020-10-02,7,648.0,146.0,10514395,117895,461629,1598,76834.0,119493
2020-10-01,11,612.0,141.0,10396500,107836,460031,1382,76834.0,109218
2020-09-30,9,605.0,144.0,10288664,96960,458649,1000,76754.0,97960
2020-09-29,2,541.0,147.0,10191704,87042,457649,1189,76649.0,88231
2020-09-28,12,543.0,135.0,10104662,52102,456460,834,76649.0,52936
2020-09-27,6,541.0,155.0,10052560,83904,455626,866,76595.0,84770
2020-09-26,4,527.0,164.0,9968656,98948,454760,1005,76528.0,99953
2020-09-25,7,511.0,154.0,9869708,93910,453755,908,76456.0,94818
2020-09-24,2,500.0,145.0,9775798,91998,452847,955,76382.0,92953
2020-09-23,5,490.0,141.0,9683800,70265,451892,665,76306.0,70930
2020-09-22,4,470.0,133.0,9613535,83243,451227,754,76246.0,83997
2020-09-21,1,468.0,134.0,9530292,57746,450473,573,76218.0,58319
2020-09-20,2,468.0,132.0,9472546,99493,449900,862,76179.0,100355
2020-09-19,2,467.0,144.0,9373053,109458,449038,986,76101.0,110444
2020-09-18,10,478.0,141.0,9263595,88937,448052,790,76036.0,89727
2020-09-17,3,486.0,135.0,9174658,90608,447262,896,75962.0,91504
2020-09-16,5,483.0,138.0,9084050,74435,446366,652,75903.0,75087
2020-09-15,11,481.0,144.0,9009615,72912,445714,766,75847.0,73678
2020-09-14,4,464.0,143.0,8936703,62775,444948,583,75814.0,63358
2020-09-13,6,464.0,131.0,8873928,71943,444365,725,75767.0,72668
2020-09-12,2,467.0,127.0,8801985,102076,443640,849,75707.0,102925
2020-09-11,5,474.0,120.0,8699909,88842,442791,880,75649.0,89722
2020-09-10,7,482.0,120.0,8611067,76056,441911,757,75584.0,76813
2020-09-09,3,463.0,121.0,8535011,62654,441154,576,75539.0,63230
2020-09-08,6,445.0,114.0,8472357,57269,440578,557,75503.0,57826
2020-09-07,2,413.0,115.0,8415088,58345,440021,520,75471.0,58865
2020-09-06,9,410.0,119.0,8356743,84901,439501,729,75425.0,85630
2020-09-05,2,425.0,115.0,8271842,98960,438772,801,75366.0,99761
2020-09-04,5,428.0,116.0,8172882,92531,437971,864,75307.0,93395
2020-09-03,7,430.0,117.0,8080351,88092,437107,889,75255.0,88981
2020-09-02,5,445.0,117.0,7992259,87739,436218,708,75203.0,88447
2020-09-01,3,432.0,109.0,7904520,76243,435510,754,75142.0,76997
2020-08-31,1,418.0,109.0,7828277,65585,434756,656,75100.0,66241
2020-08-30,8,429.0,112.0,7762692,99324,434100,698,75062.0,100022
2020-08-29,7,458.0,116.0,7663368,93238,433402,635,74990.0,93873
2020-08-28,3,478.0,122.0,7570130,97190,432767,636,74923.0,97826
2020-08-27,4,490.0,126.0,7472940,82646,432131,791,74850.0,83437
2020-08-26,8,492.0,136.0,7390294,70623,431340,566,74791.0,71189
2020-08-25,2,488.0,133.0,7319671,66626,430774,629,74731.0,67255
2020-08-24,7,482.0,120.0,7253045,61623,430145,408,74684.0,62031
2020-08-23,6,472.0,110.0,7191422,73471,429737,572,74640.0,74043
2020-08-22,4,483.0,116.0,7117951,94196,429165,653,74553.0,94849
2020-08-21,3,490.0,119.0,7023755,98171,428512,709,74485.0,98880
2020-08-20,5,518.0,120.0,6925584,80383,427803,601,74406.0,80984
2020-08-19,6,548.0,131.0,6845201,79794,427202,631,74328.0,80425
2020-08-18,8,537.0,126.0,6765407,66236,426571,655,74258.0,66891
2020-08-17,6,534.0,133.0,6699171,56483,425916,408,74207.0,56891
2020-08-16,6,527.0,128.0,6642688,77085,425508,607,74154.0,77692
2020-08-15,12,523.0,120.0,6565603,87934,424901,734,74081.0,88668
2020-08-14,4,554.0,127.0,6477669,84728,424167,727,73997.0,85455
2020-08-13,10,555.0,124.0,6392941,87163,423440,737,73907.0,87900
2020-08-12,7,558.0,123.0,6305778,87076,422703,700,73842.0,87776
2020-08-11,7,540.0,120.0,6218702,76392,422003,667,73779.0,77059
2020-08-10,2,535.0,127.0,6142310,53526,421336,476,73736.0,54002
2020-08-09,7,548.0,131.0,6088784,65297,420860,515,73689.0,65812
